Ticker,lr_accuracy,lr_precision,rf_accuracy,rf_precision
DAL,0.686528497,0.734693878,0.624352332,0.686813187
DE,0.611398964,0.641025641,0.593264249,0.631868132
DFS,0.658031088,0.674528302,0.562176166,0.592964824
DG,0.650259067,0.659898477,0.582901554,0.587677725
DGX,0.647668394,0.614173228,0.554404145,0.539568345
DHI,0.647668394,0.660194175,0.603626943,0.631016043
DHR,0.653543307,0.7,0.587926509,0.645502646
DIS,0.624352332,0.630331754,0.60880829,0.61722488
DISCA,0.642487047,0.605,0.582901554,0.554285714
DISCK,0.616580311,0.598039216,0.575129534,0.560606061
DISH,0.650259067,0.638418079,0.575129534,0.554945055
DLR,0.650259067,0.656652361,0.613989637,0.6121673
DLTR,0.670984456,0.659793814,0.590673575,0.574879227
DOV,0.663212435,0.67281106,0.637305699,0.670157068
DRE,0.686528497,0.684210526,0.588082902,0.6
DRI,0.637305699,0.663865546,0.616580311,0.657657658
DTE,0.655440415,0.62704918,0.632124352,0.603921569
DUK,0.702072539,0.68,0.632124352,0.608
DVA,0.626943005,0.608,0.544041451,0.547413793
DVN,0.650259067,0.65,0.595854922,0.590163934
DWDP,0.666666667,0.649122807,0.666666667,0.644067797
DXC,0.591194969,0.571428571,0.597484277,0.564814815
EA,0.652849741,0.665048544,0.598445596,0.596707819
EBAY,0.619170984,0.618181818,0.551813472,0.561320755
ECL,0.676165803,0.673913043,0.629533679,0.638392857
ED,0.715025907,0.717948718,0.67357513,0.661654135
EFX,0.655440415,0.663865546,0.611398964,0.62055336
EIX,0.676165803,0.658986175,0.580310881,0.574766355
EL,0.632124352,0.641025641,0.567357513,0.6
EMN,0.647668394,0.661971831,0.621761658,0.643902439
EMR,0.67357513,0.697560976,0.629533679,0.655339806
EOG,0.660621762,0.696629213,0.626943005,0.641791045
EQIX,0.668393782,0.663934426,0.613989637,0.619433198
EQR,0.652849741,0.683937824,0.595854922,0.61722488
EQT,0.691709845,0.686486486,0.613989637,0.6
ES,0.664921466,0.68558952,0.586387435,0.621145374
ESRX,0.668393782,0.644268775,0.611398964,0.617511521
ESS,0.658031088,0.651785714,0.621761658,0.618421053
ETFC,0.637305699,0.68556701,0.613989637,0.642533937
ETN,0.658031088,0.692307692,0.629533679,0.661202186
ETR,0.658031088,0.642201835,0.624352332,0.631016043
EVRG,0.536585366,0.541666667,0.530243902,0.533076923
EW,0.629533679,0.637130802,0.60880829,0.623376623
EXC,0.660621762,0.626459144,0.647668394,0.632743363
EXPD,0.632124352,0.653658537,0.595854922,0.624365482
EXPE,0.665803109,0.682926829,0.621761658,0.639423077
EXR,0.642487047,0.685990338,0.601036269,0.639269406
F,0.637305699,0.647727273,0.575129534,0.58045977
FAST,0.650259067,0.668393782,0.613989637,0.637837838
FB,0.626943005,0.60311284,0.580310881,0.575107296
FBHS,0.64507772,0.683035714,0.642487047,0.665306122
FCX,0.665803109,0.653266332,0.611398964,0.603092784
FDX,0.67357513,0.671171171,0.619170984,0.631578947
FE,0.663212435,0.647058824,0.634715026,0.626168224
FFIV,0.616580311,0.638211382,0.577720207,0.606425703
FIS,0.642487047,0.643137255,0.603626943,0.620833333
FISV,0.691709845,0.68,0.601036269,0.602996255
FITB,0.626943005,0.608333333,0.569948187,0.556818182
FL,0.639896373,0.625615764,0.562176166,0.552763819
FLIR,0.621761658,0.607843137,0.551813472,0.54028436
